"Date","Open","High","Low","Close","Volume"
"02/26/2024","142.14","142.44","135.41","138.46","166,202,500"
"02/19/2024","139.655","145","139.49","143.96","94,937,040"
"02/12/2024","148.42","149.335","140.14","140.52","141,165,620"
"02/05/2024","142.82","149.44","142.78","149","142,235,730"
"01/29/2024","152.06","153.78","136.5","142.38","238,992,250"
"01/22/2024","147.1","153.05","145.5","152.185","134,334,510"
"01/15/2024","142","146.45","138.9","146.38","103,657,410"
"01/08/2024","136.29","145.22","136.26","142.65","110,278,010"
"01/01/2024","138.55","139.63","135.15","135.73","97,574,960"
"12/25/2023","141.59","142.68","138.78","139.69","71,187,680"
"12/18/2023","132.63","141.99","132.43","141.49","160,862,380"
"12/11/2023","132.38","133.72","129.685","132.6","179,845,140"
"12/04/2023","129.88","138.56","127.9","134.99","176,658,050"
"11/27/2023","136.03","138.42","130.665","131.86","136,564,300"
"11/20/2023","133.69","139.42","133.62","136.69","80,820,810"
"11/13/2023","131.78","137.2199","131.25","135.31","139,882,320"
"11/06/2023","129.05","132.8","128.67","132.59","125,911,470"
"10/30/2023","123.21","129.525","122.685","129.1","138,832,620"
"10/23/2023","135.04","139.3599","120.2057","122.17","257,126,110"
"10/16/2023","138.17","140.72","135.08","135.6","127,794,330"
"10/09/2023","136.94","141.22","135.61","137.36","121,150,120"
"10/02/2023","131.21","138.155","131.17","137.58","119,459,960"
"09/25/2023","129.83","134.05","127.22","130.86","121,932,710"
"09/18/2023","136.61","139.16","129.6","130.25","130,043,730"
"09/11/2023","136.54","138.695","134.15","137.4","123,588,940"
"09/04/2023","135.44","136.66","132.95","136.38","80,516,170"
"08/28/2023","131.31","138","130.14","135.66","143,532,090"
"08/21/2023","127.175","134.25","126.56","129.88","130,399,540"
"08/14/2023","129.39","131.99","126.3824","127.46","133,633,460"
"08/07/2023","129.16","132.05","128.17","129.56","111,643,220"
"07/31/2023","132.73","133.525","127.42","128.11","123,911,920"
"07/24/2023","121.66","133.74","120.98","132.58","225,458,540"
"07/17/2023","125.94","127.0999","118.22","120.02","198,679,930"
"07/10/2023","118.3","126.775","115.35","125.42","166,379,430"
"07/03/2023","119.24","122.61","118.4","119.48","88,516,010"
"06/26/2023","120.76","122","116.1","119.7","154,220,430"
"06/19/2023","122.93","124.57","118.83","122.34","118,269,720"
"06/12/2023","122.785","126.108","121.45","123.53","161,991,170"
"06/05/2023","124.01","129.04","121.24","122.23","164,650,310"
"05/29/2023","125.64","126.15","122","124.67","130,155,280"
"05/22/2023","122.94","126.43","119.86","124.61","181,434,850"
"05/15/2023","116.11","125.97","116.01","122.76","191,213,600"
"05/08/2023","105.18","118.03","105.16","117.51","246,027,320"
"05/01/2023","106.84","107.99","103.71","105.57","129,533,100"
"04/24/2023","105.49","108.37","102.63","107.34","209,783,530"
"04/17/2023","104.658","106.54","103.07","105.41","138,694,220"
"04/10/2023","106.98","108.94","104.34","108.87","129,171,010"
"04/03/2023","102.39","109.17","101.93","108.42","126,457,460"
"03/27/2023","104.615","104.76","99.74","103.73","161,907,850"
"03/20/2023","100.12","106.59","99.87","105.44","189,706,950"
"03/13/2023","90.09","102.835","89.42","101.62","250,604,040"
"03/06/2023","94.015","95.97","90.395","90.63","159,332,640"
"02/27/2023","89.87","93.73","89.32","93.65","156,141,910"
"02/20/2023","93","93.1","88.575","89.13","142,304,750"
"02/13/2023","94.74","97.68","92.26","94.35","231,847,460"
"02/06/2023","102.4","108.18","93.63","94.57","350,189,010"
"01/30/2023","97.48","107.85","96.395","104.78","227,820,990"
"01/23/2023","97.95","100.32","93.76","99.37","179,407,240"
"01/16/2023","92.06","98.3","90.05","98.02","161,910,590"
"01/09/2023","88.36","92.19","85.83","92.12","142,920,980"
"01/02/2023","89.585","91.05","84.86","87.34","131,561,880"
"12/26/2022","88.795","88.94","85.94","88.23","86,940,370"
"12/19/2022","90.255","90.56","86.32","89.23","128,353,840"
"12/12/2022","92.71","99.53","89.52","90.26","196,455,150"
"12/05/2022","99.4","101.38","92.75","92.83","140,799,940"
"11/28/2022","97.036","102.25","94.11","100.44","140,129,430"
"11/21/2022","97.29","98.76","94.05","97.46","73,655,401"
"11/14/2022","95.09","100.14","94.51","97.43","155,320,410"
