"Date","Open","High","Low","Close","Volume"
"02/26/2024","797","806.4599","771.25","791.12","179,607,730"
"02/19/2024","719.47","823.94","662.48","788.17","308,961,930"
"02/12/2024","726","746.11","696.2","726.13","263,665,620"
"02/05/2024","682.25","721.85","663","721.33","270,982,300"
"01/29/2024","612.32","666","607","661.6","205,898,670"
"01/22/2024","600.49","628.49","585.85","610.31","218,096,530"
"01/15/2024","550.18","595","547.4","594.91","195,912,600"
"01/08/2024","495.12","553.46","494.79","547.1","289,915,820"
"01/01/2024","492.44","495.47","473.2","490.97","145,372,460"
"12/25/2023","489.68","499.97","487.51","495.22","111,372,830"
"12/18/2023","494","504.3299","480.98","488.3","182,785,830"
"12/11/2023","474.91","494.04","458.3","488.9","220,108,620"
"12/04/2023","460.77","477.4085","450.1","475.06","189,989,690"
"11/27/2023","478","487.62","461.87","467.65","207,472,110"
"11/20/2023","493.12","505.48","476.9","477.76","217,717,640"
"11/13/2023","483.2","499.6","480.9901","492.98","194,224,010"
"11/06/2023","452.845","484.72","448.99","483.35","205,355,540"
"10/30/2023","410.87","453.0899","392.3001","450.05","217,737,120"
"10/23/2023","412.29","436.97","398.8019","405","223,615,880"
"10/16/2023","450.63","462.25","410.78","413.87","279,322,540"
"10/09/2023","448.42","476.09","443.68","454.61","211,314,470"
"10/02/2023","440.3","457.89","432.46","457.62","209,388,770"
"09/25/2023","415.91","441.44","411.77","434.99","208,880,100"
"09/18/2023","427.48","442.42","409.8","416.1","217,041,500"
"09/11/2023","461.48","461.63","438.08","439","209,850,500"
"09/04/2023","482.23","488.5081","451.52","455.72","175,855,200"
"08/28/2023","464.82","499.27","448.88","485.09","311,419,530"
"08/21/2023","444.94","502.66","442.22","460.18","431,021,090"
"08/14/2023","404.86","452.68","403.11","432.99","293,041,070"
"08/07/2023","451.11","455.4","406.39","408.55","228,823,660"
"07/31/2023","467.54","471.3","433.87","446.8","170,821,570"
"07/24/2023","447.31","473.95","440.4","467.5","188,258,760"
"07/17/2023","462.89","478.9599","441","443.09","300,981,350"
"07/10/2023","426.57","480.88","416.49","454.69","238,370,820"
"07/03/2023","425.17","432.14","413.46","425.03","118,139,200"
"06/26/2023","424.61","427.64","401","423.02","252,079,800"
"06/19/2023","429.98","439.9","420.15","422.09","177,863,320"
"06/12/2023","392","437.21","386.18","426.92","296,767,800"
"06/05/2023","389.09","397.11","373.56","387.7","214,231,070"
"05/29/2023","405.95","419.38","378.22","393.27","304,458,530"
"05/22/2023","309.01","394.8","298.06","389.46","370,797,930"
"05/15/2023","285.085","318.28","281.52","312.64","239,849,890"
"05/08/2023","285.22","292.2","280.46","283.4","162,556,970"
"05/01/2023","278.4","290.5844","272.4","286.8","203,979,000"
"04/24/2023","270.13","277.58","262.25","277.49","179,352,320"
"04/17/2023","265.655","281.1","264.3318","271.19","205,775,930"
"04/10/2023","268.23","277.9","262.2","267.58","190,519,120"
"04/03/2023","275.09","280","263.95","270.37","167,997,610"
"03/27/2023","268.37","278.3431","258.5","277.77","190,927,190"
"03/20/2023","256.15","275.89","251.2983","267.79","279,775,300"
"03/13/2023","227.52","263.99","222.97","257.25","285,477,900"
"03/06/2023","238.91","244.54","227.26","229.65","244,227,920"
"02/27/2023","236.7","239","224.32","238.9","217,145,010"
"02/20/2023","210","238.88","204.21","232.86","263,090,980"
"02/13/2023","215.38","230.488","209.62","213.88","244,949,430"
"02/06/2023","208.06","230.2","207.86","212.65","275,061,050"
"01/30/2023","199.5","219.49","189.5","211","264,074,660"
"01/23/2023","180.64","206.28","178.175","203.65","263,258,120"
"01/16/2023","168.99","178.73","167.31","178.39","196,862,450"
"01/09/2023","152.84","169.22","151.41","168.99","224,031,300"
"01/02/2023","148.51","150.1","140.34","148.59","162,681,190"
"12/26/2022","150.74","151","138.84","146.14","148,138,180"
"12/19/2022","165.72","166.27","148.82","152.06","199,669,490"
"12/12/2022","170.37","187.9","164.1","165.71","256,757,870"
"12/05/2022","166.79","175.83","156.67","170.01","205,813,080"
"11/28/2022","160.26","172.65","155.2","168.76","201,019,990"
"11/21/2022","151.47","165.27","150.8","162.7","147,278,060"
"11/14/2022","162.18","169.98","151.2001","154.09","292,624,010"
"11/07/2022","142.28","163.89","137.5901","163.27","281,607,350"
"10/31/2022","137.78","142.29","129.56","141.56","270,442,650"
"10/24/2022","125.08","138.5","120.64","138.34","266,262,600"
"10/17/2022","115.18","127.69","115.17","124.66","302,515,890"
"10/10/2022","120.37","121.2432","108.13","112.27","342,230,610"
"10/03/2022","123.47","136.56","120.22","120.76","295,542,600"
"09/26/2022","124.91","128.23","119.4601","121.39","274,201,220"
"09/19/2022","130.12","140.31","122.57","125.16","332,465,400"
"09/12/2022","143.69","145.47","126.17","131.98","298,199,790"
"09/05/2022","137.31","144.74","133.46","143.87","216,041,020"
"08/29/2022","160.2","163.38","132.7021","136.47","352,204,500"
"08/22/2022","174.9","179.47","162.37","162.6","284,205,790"
"08/15/2022","187.01","191.64","177.7","178.49","221,273,920"
"08/08/2022","175.02","187.18","167.24","187.09","323,688,920"
"08/01/2022","181.82","192.74","179.9","189.89","217,986,210"
"07/25/2022","170.19","182.44","164.78","181.63","235,849,530"
"07/18/2022","163.02","181.44","160.02","173.19","322,714,160"
"07/11/2022","155.26","157.82","144.65","157.62","226,096,040"
"07/04/2022","141.75","160.3699","140.55","158.38","214,214,810"
"06/27/2022","173.12","173.3","143.92","145.23","263,585,970"
"06/20/2022","164.745","171.4","158.53","171.26","185,691,870"
"06/13/2022","160","168.68","153.28","158.8","281,385,130"
"06/06/2022","191.39","193.37","168.69","169.74","203,579,630"
"05/30/2022","189.8","196.19","181.22","187.2","245,604,790"
"05/23/2022","162.74","188.81","157.8","188.11","374,452,450"
"05/16/2022","175.09","183.71","157.55","166.94","301,285,170"
"05/09/2022","180.34","182.55","155.67","177.06","345,526,070"
"05/02/2022","185.405","204","179.9","186.75","295,628,220"
"04/25/2022","192.02","201.2848","182.9","185.47","286,492,990"
"04/18/2022","212","226.7037","195","195.15","278,837,840"
"04/11/2022","222.14","227.77","211.63","212.58","232,350,520"
"04/04/2022","267.28","275.58","230.6201","231.19","262,092,810"
"03/28/2022","277.555","289.46","262.67","267.12","241,864,070"
"03/21/2022","265.07","283.58","255.7501","276.92","309,724,940"
"03/14/2022","218.69","265.6899","211.5901","264.53","275,143,140"
"03/07/2022","228.17","232.2","206.5","221","229,630,440"
"02/28/2022","239.92","246.65","224.82","229.36","207,612,220"
"02/21/2022","230.35","242.17","208.9","241.57","246,459,930"
"02/14/2022","239.34","265.82","231","236.42","344,670,350"
"02/07/2022","243.72","269.2499","237.73","239.49","243,017,950"
"01/31/2022","231.82","258.17","230.52","243.19","239,203,060"
"01/24/2022","223.3","240.57","208.88","228.4","345,351,270"
"01/17/2022","262.6","266.38","232.63","233.74","206,775,920"
"01/10/2022","265.81","285.95","256.4384","269.42","231,688,430"
"01/03/2022","298.15","307.11","270.57","272.47","228,174,610"
"12/27/2021","296.6","313.3","293.3057","294.11","174,281,050"
"12/20/2021","273.05","300.59","271.45","296.4","172,443,780"
"12/13/2021","302.49","311.6","272.5","278.01","338,766,440"
"12/06/2021","298.8","324.49","280.38","301.98","270,487,580"
"11/29/2021","323.66","334.12","301.3","306.93","258,004,790"
"11/22/2021","335.17","346.47","308.8","315.03","200,472,910"
"11/15/2021","305.52","330.88","288","329.85","239,347,820"
"11/08/2021","301.49","323.1","287.78","303.9","253,127,920"
"11/01/2021","256.49","314","252.27","297.52","280,465,370"
"10/25/2021","229.73","257.09","227.7","255.67","148,883,010"
"10/18/2021","217.49","231.3","216.44","227.26","93,421,690"
"10/11/2021","205.75","219.31","205.11","218.62","97,675,570"
"10/04/2021","205.04","213.22","195.55","208.31","133,029,530"
"09/27/2021","217.104","217.99","202.03","207.42","126,866,480"
"09/20/2021","211.46","225.345","206.62","220.81","128,906,460"
"09/13/2021","226.84","229.64","218.3","219","111,432,870"
"09/06/2021","228.33","228.99","219.77","224.78","89,777,310"
"08/30/2021","228.3","230.43","221.2","228.43","119,313,820"
"08/23/2021","209.71","227.22","209.5","226.36","176,346,910"
"08/16/2021","201.35","208.6506","187.62","208.16","214,394,730"
"08/09/2021","204.46","205.0799","194.3","201.88","84,653,020"
"08/02/2021","197","207.33","192.2","203.66","114,049,610"
"07/26/2021","193.11","198.53","187.41","194.99","102,927,540"
"07/19/2021","179.1525","198.87","178.655","195.58","207,426,070"
"07/12/2021","202.4","205.3275","180.73","181.61","223,157,748"
"07/05/2021","207.375","208.75","197.0075","200.5025","166,505,708"
"06/28/2021","193.6125","205.0525","193.19","204.87","201,316,788"
"06/21/2021","184.3525","194.2","178.2265","190.31","218,417,296"
"06/14/2021","179.06","193.75","175.8442","186.3875","265,003,652"
"06/07/2021","175.7115","179.3922","171.76","178.2525","198,533,708"
"05/31/2021","162.7","176.61","159.0325","175.7825","226,409,800"
"05/24/2021","152.125","162.7748","151.76","162.445","258,667,264"
"05/17/2021","141.57","152.22","135.4325","149.9175","174,132,636"
"05/10/2021","147.8725","148.06","134.59","142.43","140,224,096"
"05/03/2021","151.25","152.4675","140.1025","148.1225","132,396,792"
"04/26/2021","151.8505","156.705","149.97","150.095","94,689,284"
"04/19/2021","155.3654","158.075","147.835","152.6525","146,088,656"
"04/12/2021","142.8975","162.1415","141.3925","159.125","286,472,428"
"04/05/2021","138.675","144.715","137.115","144","113,828,752"
"03/29/2021","128.2025","138.7","127","138.1175","109,677,448"
"03/22/2021","129.1275","133.945","122.72","128.3925","142,480,120"
