"Date","Open","High","Low","Close","Volume"
"02/26/2024","192.29","205.6","192","201.88","406,105,640"
"02/19/2024","196.13","199.44","189.13","191.97","379,971,180"
"02/12/2024","192.11","203.17","182.1087","199.95","495,639,570"
"02/05/2024","184.26","194.12","175.01","193.57","536,015,990"
"01/29/2024","185.63","196.3593","182","187.91","540,672,780"
"01/22/2024","212.26","217.8","180.06","183.25","653,348,300"
"01/15/2024","215.1","223.49","207.56","212.19","429,375,100"
"01/08/2024","236.14","241.25","217.1501","218.89","502,418,140"
"01/01/2024","250.08","251.25","234.9001","237.49","420,855,040"
"12/25/2023","254.49","265.13","247.43","248.48","407,898,280"
"12/18/2023","253.78","259.84","247","252.54","551,215,190"
"12/11/2023","242.74","254.13","228.2","253.5","636,290,500"
"12/04/2023","235.75","246.66","233.2902","243.84","578,776,200"
"11/27/2023","236.89","252.75","231.9","238.83","649,667,900"
"11/20/2023","234.04","244.01","231.02","235.45","422,092,700"
"11/13/2023","215.6","246.7","211.6101","234.3","720,156,200"
"11/06/2023","223.98","226.32","205.69","214.65","614,241,300"
"10/30/2023","209.28","226.3701","194.07","219.96","621,700,600"
"10/23/2023","210","222.05","202.51","207.3","585,973,370"
"10/16/2023","250.05","257.183","210.42","211.99","616,410,690"
"10/09/2023","255.31","268.94","250.22","251.12","541,545,100"
"10/02/2023","244.81","263.6","242.62","260.53","592,798,300"
"09/25/2023","243.38","254.77","234.58","250.22","588,809,000"
"09/18/2023","271.16","273.93","244.48","244.88","575,237,500"
"09/11/2023","264.27","278.98","260.61","274.39","663,743,600"
"09/04/2023","245","258","243.265","248.5","480,301,900"
"08/28/2023","242.58","261.18","235.35","245.01","605,113,000"
"08/21/2023","221.5512","240.82","220.58","238.59","573,767,830"
"08/14/2023","235.7","240.66","212.36","215.49","556,272,430"
"08/07/2023","251.45","253.6511","238.02","242.65","517,873,620"
"07/31/2023","267.48","269.08","250.49","253.86","467,350,250"
"07/24/2023","255.85","272.9","254.12","266.44","560,761,780"
"07/17/2023","286.625","299.29","255.8","260.02","723,314,100"
"07/10/2023","276.47","285.3","265.1","281.38","539,813,800"
"07/03/2023","276.49","284.25","272.88","274.43","485,116,500"
"06/26/2023","250.065","264.45","240.7","261.77","748,633,800"
"06/19/2023","261.5","276.99","248.25","256.6","721,745,000"
"06/12/2023","247.94","263.6","244.59","260.54","811,787,100"
"06/05/2023","217.8","252.42","212.53","244.4","848,497,600"
"05/29/2023","200.1","217.25","195.12","213.97","591,958,700"
"05/22/2023","180.7","198.6","178.22","193.17","685,490,820"
"05/15/2023","167.655","181.95","164.35","180.14","575,071,890"
"05/08/2023","173.72","177.38","166.56","167.98","582,794,640"
"05/01/2023","163.17","170.7899","158.83","170.06","559,718,490"
"04/24/2023","164.65","165.65","152.37","164.31","664,901,000"
"04/17/2023","186.32","189.69","160.56","165.08","668,971,720"
"04/10/2023","179.94","191.5846","176.11","185","617,553,460"
"04/03/2023","199.91","202.6897","179.74","185.06","553,750,100"
"03/27/2023","194.415","207.79","185.43","207.46","623,640,540"
"03/20/2023","178.08","200.66","176.35","190.41","694,177,700"
"03/13/2023","167.455","186.2199","163.91","180.13","712,075,400"
"03/06/2023","198.54","198.6","168.44","173.44","789,636,400"
"02/27/2023","202.03","211.23","186.01","197.79","807,198,500"
"02/20/2023","204.99","209.71","191.78","196.88","660,435,200"
"02/13/2023","194.415","217.65","187.61","208.31","1,014,364,800"
"02/06/2023","193.01","214","189.55","196.89","973,057,500"
"01/30/2023","178.05","199","162.78","189.98","1,091,608,900"
"01/23/2023","135.87","180.68","134.27","177.9","1,095,958,300"
"01/16/2023","125.695","136.68","124.3082","133.42","691,307,300"
"01/09/2023","118.96","125.95","114.92","122.4","891,852,300"
"01/02/2023","118.47","118.8","101.81","113.06","790,689,200"
"12/26/2022","117.495","124.48","108.24","123.18","809,414,500"
"12/19/2022","154","155.25","121.02","123.15","821,451,300"
"12/12/2022","176.1","177.37","150.04","150.23","687,706,200"
"12/05/2022","189.44","191.27","169.06","179.05","471,983,560"
"11/28/2022","179.96","198.92","178.75","194.86","439,273,790"
"11/21/2022","175.85","185.2","166.185","182.86","331,544,480"
"11/14/2022","192.77","200.8237","176.55","180.19","390,472,880"
"11/07/2022","208.65","208.9","177.12","195.97","596,889,220"
"10/31/2022","226.19","237.3951","203.08","207.47","342,474,510"
"10/24/2022","205.82","233.81","198.5863","228.52","413,072,960"
"10/17/2022","210.04","229.82","202","214.44","415,404,050"
"10/10/2022","223.93","226.99","204.16","204.99","397,406,480"
"10/03/2022","254.5","257.5","222.02","223.07","448,139,950"
"09/26/2022","271.83","289","262.47","265.25","320,014,150"
"09/19/2022","300.09","313.8","272.82","275.33","318,723,370"
"09/12/2022","300.72","309.12","290.4","303.35","341,416,180"
"09/05/2022","272.675","299.85","265.74","299.68","214,072,870"
"08/29/2022","282.83","288.48","266.15","270.21","249,690,950"
"08/22/2022","291.9133","303.6466","286.2966","288.09","287,482,088"
"08/15/2022","301.7866","314.6666","292.5","296.6666","355,157,406"
"08/08/2022","295","305.2","279.3533","300.03","430,341,223"
"08/01/2022","301.275","313.6066","285.5446","288.17","478,140,768"
"07/25/2022","272.2166","298.32","256.2633","297.15","399,040,210"
"07/18/2022","244.9366","280.7866","236.9766","272.2433","497,796,709"
"07/11/2022","252.1033","253.0633","225.0333","240.0666","433,635,224"
"07/04/2022","223","254.9799","216.1667","250.7633","340,417,533"
"06/27/2022","249.3666","252.07","218.8633","227.2633","431,803,002"
"06/20/2022","224.6033","246.8333","224.3333","245.7066","424,293,672"
"06/13/2022","223.1666","235.6633","208.6933","216.76","519,920,512"
"06/06/2022","244.3533","255.5466","227.9133","232.23","427,805,983"
"05/30/2022","257.9466","264.21","233.4178","234.5166","385,029,248"
"05/23/2022","218.34","253.2666","206.8566","253.21","465,433,877"
"05/16/2022","255.72","256.5866","211","221.3","489,416,479"
"05/09/2022","278.8166","281.8766","226.6666","256.53","504,899,930"
"05/02/2022","286.9233","318.5","281.035","288.55","386,557,028"
"04/25/2022","326.3233","336.2066","273.9","290.2533","494,513,000"
"04/18/2022","329.6766","364.0733","324.47","335.0166","347,387,315"
"04/11/2022","326.8","342.08","324.3656","328.3333","238,876,975"
"04/04/2022","363.1266","384.29","340.5133","341.83","386,062,059"
"03/28/2022","355.0333","371.59","351.2","361.53","339,241,893"
"03/21/2022","304.9933","346.9","302.3633","336.88","439,478,834"
"03/14/2022","260.2033","302.6166","252.0133","301.7966","389,019,429"
"03/07/2022","285.4333","288.7133","260.7233","265.1166","337,763,074"
"02/28/2022","271.67","296.6266","271.5691","279.43","377,220,607"
"02/21/2022","278.0433","285.5779","233.3333","269.9566","389,935,300"
"02/14/2022","287.19","308.8099","279.2033","285.66","300,380,641"
"02/07/2022","307.93","315.9233","283.5666","286.6666","309,755,761"
"01/31/2022","290.9033","314.5666","287.35","307.7733","396,848,559"
"01/24/2022","301.5866","329.23","264.0033","282.1166","625,736,882"
"01/17/2022","342.2016","356.9299","313.5","314.6333","316,336,712"
"01/10/2022","333.3333","371.8666","326.6666","349.87","411,751,361"
"01/03/2022","382.5833","402.6666","336.6666","342.32","459,555,405"
"12/27/2021","357.89","372.9999","351.05","352.26","275,398,378"
"12/20/2021","303.5666","357.6589","295.3733","355.6666","314,345,341"
"12/13/2021","333.6966","335","303.0133","310.8566","408,222,731"
"12/06/2021","333.8366","357.46","316.8333","339.01","298,756,950"
"11/29/2021","366.9966","390.9466","333.4033","338.3233","373,910,527"
"11/22/2021","387.4433","400.65","354","360.64","310,456,052"
"11/15/2021","339.21","379.5733","326.2","379.02","405,913,749"
"11/08/2021","383.2616","399","329.1033","344.4733","549,972,056"
"11/01/2021","381.6666","414.4966","372.8866","407.3633","541,323,834"
"10/25/2021","316.8433","371.7366","314.7333","371.3333","662,775,427"
"10/18/2021","283.93","303.3333","283.8233","303.2266","329,948,162"
"10/11/2021","262.55","281.07","261.8333","281.01","244,536,565"
"10/04/2021","265.5","268.9899","257.74","261.83","298,449,390"
"09/27/2021","257.7066","266.3333","254.53","258.4066","328,147,022"
"09/20/2021","244.8525","258.2666","239.5416","258.13","268,605,597"
"09/13/2021","246.738","253.68","236.2833","253.1633","296,887,890"
"09/06/2021","246.6666","254.8166","244.84","245.4233","204,284,331"
"08/30/2021","238.2383","247.33","237.5766","244.5233","242,195,395"
"08/23/2021","228.4806","238.99","226.9168","237.3066","219,124,642"
"08/16/2021","235.0233","236.5","216.28","226.7533","288,987,988"
"08/09/2021","236.7233","243.3","233.1333","239.0566","217,084,155"
"08/02/2021","233.3333","242.3133","232.5433","233.0333","302,344,110"
"07/26/2021","216.99","232.51","209.08","229.0666","402,622,541"
"07/19/2021","209.9633","221.6199","207.0966","214.46","241,344,714"
"07/12/2021","220.7333","231.0933","212.6266","214.74","315,344,611"
"07/05/2021","227.2371","228","206.82","218.9833","248,970,865"
"06/28/2021","223.88","233.3333","223.44","226.3","310,998,691"
"06/21/2021","208.16","232.54","202.96","223.9566","460,649,926"
"06/14/2021","204.0766","209.45","197.8333","207.77","322,783,592"
"06/07/2021","197.275","207.6966","194.2933","203.2966","315,919,742"
"05/31/2021","209.2666","211.2666","190.4066","199.6833","286,609,408"
"05/24/2021","193.8666","211.8633","191.2166","208.4066","420,932,922"
"05/17/2021","191.851","198.8933","182.3266","193.6266","496,525,520"
"05/10/2021","221.6333","221.6833","186.55","196.58","567,827,306"
"05/03/2021","234.6","235.3333","216.6666","224.1233","389,814,459"
"04/26/2021","247","249.7666","222.0466","236.48","457,052,206"
"04/19/2021","239.8666","251.2566","230.6","243.1333","511,544,842"
"04/12/2021","228.5666","260.2633","227.3633","246.5933","535,903,073"
"04/05/2021","235.9033","236.0533","222.6133","225.6733","425,356,422"
